timestamp gpu_instant gpu_average
1733935225.009 28.873 23.595
1733935225.069 28.789 28.553
1733935225.129 28.789 28.553
1733935225.190 60.226 31.760
1733935225.250 85.297 36.799
1733935225.310 85.297 36.799
1733935225.370 32.532 37.130
1733935225.430 32.532 37.130
1733935225.490 32.887 37.503
1733935225.550 32.907 37.877
1733935225.610 32.907 37.877
1733935225.670 32.741 38.237
1733935225.730 32.741 38.237
1733935225.791 32.641 38.588
1733935225.851 32.608 38.935
1733935225.911 32.608 38.935
1733935225.971 32.573 39.281
1733935226.031 32.573 39.281
1733935226.091 32.593 39.619
1733935226.151 32.538 39.960
1733935226.211 32.538 39.960
1733935226.271 32.487 39.960
1733935226.332 32.487 39.960
1733935226.392 32.467 39.960
1733935226.452 32.335 39.960
1733935226.512 32.335 39.960
1733935226.572 32.597 39.960
1733935226.632 32.597 39.960
1733935226.692 32.577 39.960
1733935226.752 32.556 39.960
1733935226.812 32.556 39.960
1733935226.872 32.458 39.960
1733935226.933 32.458 39.960
1733935226.993 32.569 39.960
1733935227.053 32.493 39.960
1733935227.113 32.493 39.960
1733935227.173 28.953 32.182
1733935227.233 28.953 32.182
1733935227.293 28.791 32.182
1733935227.353 28.807 32.182
1733935227.413 28.807 32.182
1733935227.474 28.802 32.182
1733935227.534 28.802 32.182
1733935227.594 28.811 32.182
1733935227.654 28.809 32.182
1733935227.714 28.809 32.182
1733935227.774 28.807 32.182
1733935227.834 28.807 32.182
1733935227.894 28.834 32.182
1733935227.954 28.828 32.182
1733935228.014 28.828 32.182
1733935228.075 28.844 32.182
1733935228.135 28.844 32.182
1733935228.195 28.837 30.481
1733935228.255 28.794 30.481
1733935228.315 28.794 30.481
1733935228.375 28.756 30.481
1733935228.435 28.756 30.481
1733935228.495 28.771 30.481
1733935228.555 28.770 30.481
1733935228.615 28.770 30.481
1733935228.676 28.771 30.481
1733935228.736 28.771 30.481
1733935228.796 28.762 30.481
1733935228.856 28.760 30.481
1733935228.916 28.760 30.481
1733935228.976 28.756 30.481
1733935229.036 28.756 30.481
1733935229.096 28.767 30.481
1733935229.156 28.778 28.793
1733935229.217 28.778 28.793
1733935229.277 28.809 28.793
1733935229.337 28.809 28.793
1733935229.397 28.835 28.793
1733935229.457 28.821 28.793
1733935229.517 28.821 28.793
1733935229.577 28.838 28.793
1733935229.637 28.838 28.793
1733935229.697 28.836 28.793
1733935229.757 28.824 28.793
1733935229.818 28.824 28.793
1733935229.878 28.809 28.793
1733935229.938 28.809 28.793
1733935229.998 28.817 28.793
1733935230.058 28.814 28.793
1733935230.118 28.814 28.793
1733935230.178 28.821 28.795
1733935230.238 28.821 28.795
1733935230.298 28.796 28.795
1733935230.359 28.771 28.795
1733935230.419 28.771 28.795
1733935230.479 28.781 28.795
1733935230.539 28.781 28.795
1733935230.599 28.777 28.795
1733935230.659 28.797 28.795
1733935230.719 28.797 28.795
1733935230.779 28.790 28.795
1733935230.839 28.790 28.795
1733935230.899 28.820 28.795
1733935230.960 28.816 28.795
1733935231.020 28.816 28.795
1733935231.080 28.816 28.795
1733935231.140 28.816 28.795
1733935231.200 28.806 28.809
1733935231.260 28.818 28.809
1733935231.320 28.818 28.809
1733935231.380 28.818 28.809
1733935231.440 28.818 28.809
1733935231.500 28.803 28.809
1733935231.561 28.803 28.809
1733935231.621 28.803 28.809
1733935231.681 28.831 28.809
1733935231.741 28.831 28.809
1733935231.801 28.806 28.809
1733935231.861 28.822 28.809
1733935231.921 28.822 28.809
1733935231.981 28.804 28.809
1733935232.041 28.804 28.809
1733935232.101 28.795 28.809
1733935232.162 28.790 28.802
1733935232.222 28.790 28.802
1733935232.282 28.805 28.802
1733935232.342 28.805 28.802
1733935232.402 28.815 28.802
1733935232.462 28.811 28.802
1733935232.522 28.811 28.802
1733935232.582 28.794 28.802
1733935232.642 28.808 28.802
1733935232.703 28.808 28.802
1733935232.763 28.810 28.802
1733935232.823 28.810 28.802
1733935232.883 28.796 28.802
1733935232.943 28.813 28.802
1733935233.003 28.813 28.802
1733935233.063 28.820 28.802
1733935233.123 28.820 28.802
1733935233.183 28.813 28.808
1733935233.243 28.811 28.808
1733935233.304 28.811 28.808
1733935233.364 28.807 28.808
1733935233.424 28.807 28.808
1733935233.484 28.795 28.808
1733935233.544 28.805 28.808
1733935233.604 28.805 28.808
1733935233.664 28.808 28.808
1733935233.724 28.808 28.808
1733935233.784 28.817 28.808
1733935233.845 28.821 28.808
1733935233.905 28.821 28.808
1733935233.965 28.817 28.808
1733935234.025 28.817 28.808
1733935234.085 28.820 28.808
1733935234.145 28.826 28.810
1733935234.205 28.826 28.810
1733935234.265 28.840 28.810
1733935234.325 28.840 28.810
1733935234.386 28.822 28.810
1733935234.446 28.801 28.810
1733935234.506 28.801 28.810
1733935234.566 28.822 28.810
1733935234.626 28.822 28.810
1733935234.686 28.823 28.810
1733935234.746 28.822 28.810
1733935234.806 28.822 28.810
1733935234.866 28.831 28.810
1733935234.926 28.831 28.810
1733935234.987 28.820 28.810
1733935235.047 28.827 28.810
1733935235.107 28.827 28.810
1733935235.167 28.836 28.818
1733935235.227 28.836 28.818
M 10.098 "start"
1733935235.287 28.819 28.818
1733935235.347 28.802 28.860
1733935235.407 28.802 28.860
1733935235.467 87.972 33.403
1733935235.528 87.972 33.403
1733935235.588 110.998 38.955
1733935235.648 121.597 44.457
1733935235.708 121.597 44.457
1733935235.768 121.964 49.299
1733935235.828 121.964 49.299
1733935235.888 122.255 53.590
1733935235.948 122.255 53.590
1733935236.008 123.199 57.459
1733935236.069 122.245 60.869
1733935236.129 122.245 60.869
1733935236.189 122.311 63.941
1733935236.249 122.311 63.941
1733935236.309 122.286 101.171
1733935236.369 122.463 102.945
1733935236.429 122.463 102.945
1733935236.489 122.721 119.430
1733935236.549 122.721 119.430
1733935236.609 122.820 121.359
1733935236.670 123.785 122.514
1733935236.730 123.785 122.514
1733935236.790 122.637 122.608
1733935236.850 122.637 122.608
1733935236.910 122.816 122.686
1733935236.980 122.842 122.741
1733935237.040 122.842 122.741
1733935237.100 122.736 122.697
1733935237.160 123.041 122.697
M 12.031 "end"
1733935237.220 123.041 122.768
1733935237.280 115.168 122.069
1733935237.340 115.168 122.069
1733935237.401 34.797 114.092
1733935237.461 33.917 114.092
1733935237.521 33.917 106.059
1733935237.581 34.283 98.020
1733935237.641 34.283 98.020
1733935237.701 33.655 89.913
1733935237.761 33.624 89.913
1733935237.821 33.624 81.715
1733935237.881 33.577 73.619
1733935237.941 33.577 73.619
1733935238.002 33.556 65.505
1733935238.062 33.534 65.505
1733935238.122 33.534 57.385
1733935238.182 33.557 49.280
1733935238.242 33.557 49.280
1733935238.302 33.508 41.141
1733935238.362 33.489 41.141
1733935238.422 33.489 41.141
1733935238.482 33.427 41.141
1733935238.542 33.427 41.141
1733935238.603 33.416 41.141
1733935238.663 33.112 41.141
1733935238.723 33.112 41.141
1733935238.783 33.107 41.141
1733935238.843 33.107 41.141
1733935238.903 33.063 41.141
1733935238.963 33.081 41.141
1733935239.023 33.081 41.141
1733935239.083 33.110 41.141
1733935239.144 33.110 41.141
1733935239.204 29.150 41.141
1733935239.264 29.046 32.498
1733935239.324 29.046 32.498
1733935239.384 29.728 32.498
1733935239.444 29.728 32.498
1733935239.504 29.337 32.498
1733935239.564 29.337 32.498
1733935239.624 28.931 32.498
1733935239.684 28.946 32.498
1733935239.745 28.946 32.498
1733935239.805 28.942 32.498
1733935239.865 28.942 32.498
1733935239.925 28.930 32.498
1733935239.985 28.957 32.498
1733935240.045 28.957 32.498
1733935240.105 28.956 32.498
1733935240.165 28.956 32.498
1733935240.225 28.939 30.740
1733935240.286 28.875 30.740
1733935240.346 28.875 30.740
1733935240.406 28.873 30.740
1733935240.466 28.873 30.740
1733935240.526 28.860 30.740
1733935240.586 28.872 30.740
1733935240.646 28.872 30.740
1733935240.706 28.862 30.740
1733935240.766 28.862 30.740
1733935240.826 28.864 30.740
1733935240.887 28.881 30.740
1733935240.947 28.881 30.740
1733935241.007 28.826 30.740
1733935241.067 28.826 30.740
1733935241.127 28.838 30.740
1733935241.187 28.849 28.972
1733935241.247 28.849 28.972
1733935241.307 28.871 28.972
1733935241.367 28.871 28.972
1733935241.427 28.858 28.972
1733935241.488 28.866 28.972
1733935241.548 28.866 28.972
1733935241.608 28.859 28.972
1733935241.668 28.859 28.972
1733935241.728 28.884 28.972
1733935241.788 28.863 28.972
1733935241.848 28.863 28.972
1733935241.908 28.886 28.972
1733935241.968 28.886 28.972
1733935242.029 28.865 28.972
1733935242.089 28.880 28.972
1733935242.149 28.880 28.972
M 17.019 "start"
1733935242.209 28.855 28.864
1733935242.269 28.855 28.864
1733935242.329 95.101 34.934
1733935242.389 99.785 40.339
1733935242.449 99.785 40.339
1733935242.509 119.926 46.477
1733935242.569 119.926 46.477
1733935242.630 122.397 51.896
1733935242.690 122.397 51.896
1733935242.750 122.642 56.611
1733935242.810 123.618 60.800
1733935242.870 123.618 60.800
1733935242.930 122.915 64.453
1733935242.990 122.915 64.453
1733935243.050 122.921 67.701
1733935243.110 122.984 70.611
1733935243.170 122.984 70.611
1733935243.231 123.106 73.235
1733935243.291 123.106 73.235
1733935243.351 123.031 118.094
1733935243.411 123.222 120.608
1733935243.471 123.222 120.608
1733935243.531 123.884 122.795
1733935243.591 123.884 122.795
1733935243.651 123.155 123.079
1733935243.711 122.919 123.127
1733935243.771 122.919 123.127
1733935243.832 123.350 123.191
1733935243.892 123.350 123.191
1733935243.952 123.303 123.162
1733935244.012 123.189 123.187
M 18.882 "end"
1733935244.072 123.189 123.187
1733935244.132 112.422 122.182
1733935244.192 112.422 122.182
1733935244.252 34.922 114.175
1733935244.312 34.283 106.102
1733935244.373 34.283 106.102
1733935244.433 34.070 98.016
1733935244.493 34.070 98.016
1733935244.553 33.971 89.900
1733935244.613 33.880 81.718
1733935244.673 33.880 81.718
1733935244.733 34.155 73.625
1733935244.793 34.155 73.625
1733935244.853 33.778 65.522
1733935244.913 33.649 57.364
1733935244.974 33.649 57.364
1733935245.034 33.551 49.209
1733935245.094 33.551 49.209
1733935245.154 33.586 49.209
1733935245.214 33.470 49.209
1733935245.274 33.470 49.209
1733935245.334 33.464 49.209
1733935245.394 33.464 49.209
1733935245.454 33.416 49.209
1733935245.514 33.399 49.209
1733935245.575 33.399 49.209
1733935245.635 33.419 49.209
1733935245.695 33.419 49.209
1733935245.755 33.380 49.209
1733935245.815 33.342 49.209
1733935245.875 33.342 49.209
1733935245.935 33.385 49.209
1733935245.995 33.385 49.209
1733935246.055 33.368 33.434
1733935246.116 29.488 33.434
1733935246.176 29.488 33.434
1733935246.236 29.242 33.434
1733935246.296 29.242 33.434
1733935246.356 29.304 33.434
1733935246.416 29.181 33.434
1733935246.476 29.181 33.434
1733935246.536 29.237 33.434
1733935246.596 29.237 33.434
1733935246.656 29.286 33.434
1733935246.717 29.272 33.434
1733935246.777 29.272 33.434
1733935246.837 29.302 33.434
1733935246.897 29.302 33.434
1733935246.957 29.290 33.434
1733935247.017 29.216 31.351
1733935247.077 29.216 31.351
1733935247.137 29.239 31.351
1733935247.197 29.239 31.351
1733935247.257 29.300 31.351
1733935247.318 29.276 31.351
1733935247.378 29.276 31.351
1733935247.438 29.237 31.351
1733935247.498 29.237 31.351
1733935247.558 29.267 31.351
1733935247.618 29.223 31.351
1733935247.678 29.223 31.351
1733935247.738 29.273 31.351
1733935247.798 29.273 31.351
1733935247.858 29.178 31.351
1733935247.919 29.209 31.351
1733935247.979 29.209 31.351
1733935248.039 29.205 29.260
1733935248.099 29.205 29.260
1733935248.159 29.267 29.260
1733935248.219 29.177 29.260
1733935248.279 29.177 29.260
1733935248.339 29.188 29.260
1733935248.399 29.188 29.260
1733935248.460 29.128 29.260
1733935248.520 29.173 29.260
1733935248.580 29.173 29.260
1733935248.640 29.191 29.260
1733935248.700 29.191 29.260
1733935248.760 29.259 29.260
1733935248.820 29.196 29.260
1733935248.880 29.196 29.260
1733935248.940 29.254 29.260
1733935249.000 29.254 29.260
M 23.871 "start"
1733935249.061 29.264 29.225
1733935249.121 31.662 29.472
1733935249.181 31.662 29.472
1733935249.241 99.922 35.350
1733935249.301 99.922 35.350
1733935249.361 114.393 41.432
1733935249.421 122.485 47.227
1733935249.481 122.485 47.227
1733935249.541 122.933 47.227
1733935249.601 122.933 52.268
1733935249.662 123.003 56.689
1733935249.722 123.003 56.689
1733935249.782 123.084 60.595
1733935249.842 123.880 64.111
1733935249.902 123.880 64.111
